us_Trade Weighted Dollar Index,kr_fx,us_ret,kr_ret,jp_ret,kr_us_spread,jp_us_spread,kr_jp_spread,corr_us_kr,corr_us_jp,corr_kr_jp,us_ret_lag1,kr_ret_lag1,jp_ret_lag1,US_Interest_Rate,KR_Interest_Rate,JP_Interest_Rate,US_GDP,KR_GDP,JP_GDP,US_CPI,KR_CPI,JP_CPI,US_Employment,KR_Employment,JP_Employment,US_Unemployment,KR_Unemployment,JP_Unemployment,US_Trade_Balance,KR_Trade_Balance,JP_Trade_Balance
-26.190887451171875,1309.537841796875,-148.746826171875,-148.73318481445312,-148.7332763671875,-148.72732543945312,-148.72828674316406,-148.7421875,-147.93113708496094,-148.0859375,-148.22900390625,-148.7452850341797,-148.73451232910156,-148.7357177734375,-145.42835998535156,-146.6460418701172,-148.06455993652344,7896647.5,671259968.0,169020496.0,-147.9925994873047,-148.58177185058594,-148.6294403076172,160450.453125,29127976.0,68466544.0,-144.56153869628906,-146.28872680664062,-146.30372619628906,-60497.1953125,25809236525056.0,-1310663114752.0
-27.71802520751953,1309.0911865234375,-149.49220275878906,-149.47650146484375,-149.4761505126953,-149.47023010253906,-149.47120666503906,-149.488037109375,-148.67286682128906,-148.8217010498047,-149.0235137939453,-149.4904327392578,-149.4759521484375,-149.4784393310547,-146.1125946044922,-147.3513946533203,-148.80616760253906,7914651.0,670513472.0,169048880.0,-148.76156616210938,-149.32688903808594,-149.3753204345703,160421.09375,29132738.0,68466376.0,-145.27146911621094,-147.06520080566406,-147.04336547851562,-54095.3046875,26335745409024.0,-1247303172096.0
-28.645896911621094,1311.369140625,-149.93968200683594,-149.92349243164062,-149.92214965820312,-149.91551208496094,-149.9176788330078,-149.93629455566406,-149.11666870117188,-149.26031494140625,-149.508544921875,-149.93759155273438,-149.92062377929688,-149.92369079589844,-146.4819793701172,-147.75421142578125,-149.24964904785156,7928159.5,669863872.0,169133584.0,-149.22821044921875,-149.7742462158203,-149.8229522705078,160387.671875,29135798.0,68469624.0,-145.6685333251953,-147.5326385498047,-147.4824676513672,-47956.4140625,27421262741504.0,-1151611699200.0
-29.496109008789062,1309.6171875,-150.27523803710938,-150.25950622558594,-150.25787353515625,-150.248779296875,-150.25155639648438,-150.2720947265625,-149.44908142089844,-149.58851623535156,-149.89694213867188,-150.27288818359375,-150.25376892089844,-150.257568359375,-146.71604919433594,-148.0257568359375,-149.58447265625,7937158.0,669518848.0,169148016.0,-149.57533264160156,-150.10931396484375,-150.15859985351562,160327.921875,29139300.0,68467968.0,-145.94288635253906,-147.87962341308594,-147.80783081054688,-42504.93359375,28363919982592.0,-1052124577792.0
-30.033859252929688,1305.3306884765625,-150.39260864257812,-150.3770751953125,-150.3741912841797,-150.36520385742188,-150.36688232421875,-150.39041137695312,-149.5631561279297,-149.70263671875,-150.06005859375,-150.39068603515625,-150.3701934814453,-150.37571716308594,-146.72793579101562,-148.05496215820312,-149.70089721679688,7944269.5,669181888.0,169143648.0,-149.69139099121094,-150.22665405273438,-150.27635192871094,160298.515625,29131592.0,68469384.0,-146.0110321044922,-147.9981231689453,-147.91253662109375,-40131.1640625,29403117518848.0,-935520239616.0
-30.592391967773438,1299.947021484375,-150.6833038330078,-150.66831970214844,-150.6631317138672,-150.6556854248047,-150.6573028564453,-150.68202209472656,-149.85037231445312,-149.99342346191406,-150.37583923339844,-150.68197631835938,-150.66070556640625,-150.66598510742188,-146.90992736816406,-148.2525177001953,-149.99635314941406,7951580.0,668923776.0,169135504.0,-149.9772491455078,-150.5178680419922,-150.5677490234375,160250.265625,29117220.0,68467488.0,-146.24835205078125,-148.2838897705078,-148.19400024414062,-38908.04296875,30603315511296.0,-805070700544.0
-31.14166259765625,1294.7259521484375,-151.05821228027344,-151.04434204101562,-151.0366668701172,-151.03086853027344,-151.0330810546875,-151.05726623535156,-150.22332763671875,-150.37049865722656,-150.76722717285156,-151.05711364746094,-151.03623962402344,-151.03956604003906,-147.17987060546875,-148.53555297851562,-150.37440490722656,7958143.5,668870592.0,169094880.0,-150.3396453857422,-150.893310546875,-150.94363403320312,160215.1875,29086592.0,68466720.0,-146.5741424560547,-148.64637756347656,-148.558349609375,-38257.34375,31618257387520.0,-656761749504.0
-31.544105529785156,1287.494384765625,-151.45631408691406,-151.4438018798828,-151.43394470214844,-151.42977905273438,-151.4329071044922,-151.4556427001953,-150.6207275390625,-150.76718139648438,-151.16098022460938,-151.45541381835938,-151.435302734375,-151.4367218017578,-147.47378540039062,-148.83750915527344,-150.77923583984375,7962265.0,668703808.0,169045136.0,-150.71994018554688,-151.29222106933594,-151.34315490722656,160190.8125,29056606.0,68464128.0,-146.9377899169922,-149.0283966064453,-148.94447326660156,-39363.2109375,32755341590528.0,-522003283968.0
-31.77013397216797,1281.2371826171875,-151.7447052001953,-151.73309326171875,-151.7220916748047,-151.71865844726562,-151.72242736816406,-151.74374389648438,-150.91090393066406,-151.05690002441406,-151.4440460205078,-151.74362182617188,-151.72373962402344,-151.72427368164062,-147.68495178222656,-149.03392028808594,-151.07354736328125,7969235.5,668533824.0,168947232.0,-150.9876251220703,-151.58151245117188,-151.6326904296875,160167.796875,29023982.0,68459432.0,-147.1990966796875,-149.29299926757812,-149.2246551513672,-41450.47265625,33798381109248.0,-362675175424.0
-31.538848876953125,1277.50830078125,-151.78054809570312,-151.76950073242188,-151.75892639160156,-151.75506591796875,-151.75982666015625,-151.77928161621094,-150.94915771484375,-151.09640502929688,-151.4674072265625,-151.77978515625,-151.76031494140625,-151.7603302001953,-147.64881896972656,-148.97918701171875,-151.11483764648438,7970517.5,668451392.0,168884736.0,-151.00621032714844,-151.6184539794922,-151.66949462890625,160137.46875,29001382.0,68451296.0,-147.213623046875,-149.3043975830078,-149.25262451171875,-44954.3125,34710604480512.0,-263389052928.0
-31.194580078125,1274.131103515625,-151.67922973632812,-151.6685791015625,-151.65792846679688,-151.65420532226562,-151.65968322753906,-151.67710876464844,-150.8494415283203,-150.99742126464844,-151.34983825683594,-151.67837524414062,-151.65908813476562,-151.65945434570312,-147.49850463867188,-148.7913055419922,-151.0199432373047,7971990.0,668385408.0,168777104.0,-150.8877410888672,-151.51783752441406,-151.568603515625,160102.875,28988062.0,68445184.0,-147.09249877929688,-149.17250061035156,-149.14503479003906,-48604.35546875,35479353294848.0,-147570458624.0
-30.68347930908203,1271.124755859375,-151.4444122314453,-151.43429565429688,-151.42315673828125,-151.4205322265625,-151.4263153076172,-151.44224548339844,-150.6171417236328,-150.76513671875,-151.09603881835938,-151.44418334960938,-151.42495727539062,-151.42530822753906,-147.2158966064453,-148.4828338623047,-150.79391479492188,7972378.0,668332992.0,168709056.0,-150.63351440429688,-151.2839813232422,-151.3343505859375,160064.265625,28960984.0,68438656.0,-146.85552978515625,-148.9080047607422,-148.9057159423828,-51369.94140625,36222902730752.0,-68077793280.0
