us_Trade Weighted Dollar Index,jp_fx,us_ret,kr_ret,jp_ret,kr_us_spread,jp_us_spread,kr_jp_spread,corr_us_kr,corr_us_jp,corr_kr_jp,us_ret_lag1,kr_ret_lag1,jp_ret_lag1,US_Interest_Rate,KR_Interest_Rate,JP_Interest_Rate,US_GDP,KR_GDP,JP_GDP,US_CPI,KR_CPI,JP_CPI,US_Employment,KR_Employment,JP_Employment,US_Unemployment,KR_Unemployment,JP_Unemployment,US_Trade_Balance,KR_Trade_Balance,JP_Trade_Balance
-1335.728759765625,-1309.537841796875,-1458.28466796875,-1458.27099609375,-1458.2711181640625,-1458.26513671875,-1458.26611328125,-1458.280029296875,-1457.468994140625,-1457.623779296875,-1457.766845703125,-1458.283203125,-1458.2723388671875,-1458.2735595703125,-1454.9661865234375,-1456.1839599609375,-1457.6024169921875,7895337.5,671258624.0,169019184.0,-1457.530517578125,-1458.11962890625,-1458.1673583984375,159140.90625,29126666.0,68465240.0,-1454.099365234375,-1455.8265380859375,-1455.841552734375,-61806.73046875,25809236525056.0,-1310663114752.0
-1336.8092041015625,-1309.0911865234375,-1458.5833740234375,-1458.5677490234375,-1458.5673828125,-1458.5614013671875,-1458.5623779296875,-1458.5792236328125,-1457.7640380859375,-1457.912841796875,-1458.11474609375,-1458.5816650390625,-1458.567138671875,-1458.569580078125,-1455.2037353515625,-1456.442626953125,-1457.8973388671875,7913342.0,670512128.0,169047568.0,-1457.852783203125,-1458.4180908203125,-1458.466552734375,159112.0,29131430.0,68465072.0,-1454.3626708984375,-1456.1563720703125,-1456.134521484375,-55404.3984375,26335745409024.0,-1247303172096.0
-1340.0150146484375,-1311.369140625,-1461.3087158203125,-1461.2926025390625,-1461.291259765625,-1461.2845458984375,-1461.2867431640625,-1461.305419921875,-1460.4857177734375,-1460.62939453125,-1460.877685546875,-1461.306640625,-1461.2896728515625,-1461.292724609375,-1457.85107421875,-1459.123291015625,-1460.6187744140625,7926848.0,669862528.0,169132272.0,-1460.5972900390625,-1461.143310546875,-1461.1920166015625,159076.3125,29134486.0,68468312.0,-1457.03759765625,-1458.9017333984375,-1458.8515625,-49267.78125,27421262741504.0,-1151611699200.0
-1339.11328125,-1309.6171875,-1459.892333984375,-1459.876708984375,-1459.875,-1459.865966796875,-1459.86865234375,-1459.8892822265625,-1459.0662841796875,-1459.2056884765625,-1459.5140380859375,-1459.8900146484375,-1459.8709716796875,-1459.874755859375,-1456.333251953125,-1457.6429443359375,-1459.20166015625,7935848.5,669517504.0,169146704.0,-1459.1925048828125,-1459.7264404296875,-1459.7757568359375,159018.296875,29137990.0,68466664.0,-1455.56005859375,-1457.496826171875,-1457.425048828125,-43814.55078125,28363919982592.0,-1052124577792.0
-1335.3646240234375,-1305.3306884765625,-1455.723388671875,-1455.707763671875,-1455.7049560546875,-1455.6959228515625,-1455.6976318359375,-1455.72119140625,-1454.8939208984375,-1455.0333251953125,-1455.3907470703125,-1455.721435546875,-1455.700927734375,-1455.7064208984375,-1452.0587158203125,-1453.3857421875,-1455.0316162109375,7942964.5,669180544.0,169142336.0,-1455.0220947265625,-1455.557373046875,-1455.6070556640625,158993.1875,29130286.0,68468080.0,-1451.341796875,-1453.328857421875,-1453.2432861328125,-41436.49609375,29403117518848.0,-935520239616.0
-1330.539306640625,-1299.947021484375,-1450.6302490234375,-1450.615234375,-1450.610107421875,-1450.6026611328125,-1450.604248046875,-1450.6290283203125,-1449.79736328125,-1449.9404296875,-1450.32275390625,-1450.62890625,-1450.607666015625,-1450.6129150390625,-1446.85693359375,-1448.199462890625,-1449.943359375,7950280.0,668922432.0,169134192.0,-1449.9241943359375,-1450.46484375,-1450.5146484375,158950.3125,29115920.0,68466192.0,-1446.1953125,-1448.2308349609375,-1448.1409912109375,-40207.98828125,30603315511296.0,-805070700544.0
-1325.86767578125,-1294.7259521484375,-1445.7841796875,-1445.7703857421875,-1445.7626953125,-1445.7568359375,-1445.759033203125,-1445.783203125,-1444.9493408203125,-1445.096435546875,-1445.4931640625,-1445.7830810546875,-1445.76220703125,-1445.7655029296875,-1441.9058837890625,-1443.261474609375,-1445.100341796875,7956848.5,668869248.0,169093584.0,-1445.065673828125,-1445.6192626953125,-1445.6695556640625,158920.453125,29085298.0,68465424.0,-1441.3001708984375,-1443.372314453125,-1443.2843017578125,-39552.0703125,31618257387520.0,-656761749504.0
-1319.0384521484375,-1287.494384765625,-1438.95068359375,-1438.9381103515625,-1438.9283447265625,-1438.924072265625,-1438.92724609375,-1438.949951171875,-1438.1151123046875,-1438.261474609375,-1438.6552734375,-1438.94970703125,-1438.9296875,-1438.9310302734375,-1434.9681396484375,-1436.331787109375,-1438.2735595703125,7960977.5,668702528.0,169043840.0,-1438.2142333984375,-1438.78662109375,-1438.8375244140625,158903.328125,29055320.0,68462840.0,-1434.43212890625,-1436.522705078125,-1436.4388427734375,-40650.703125,32755341590528.0,-522003283968.0
-1313.00732421875,-1281.2371826171875,-1432.98193359375,-1432.97021484375,-1432.959228515625,-1432.955810546875,-1432.9595947265625,-1432.98095703125,-1432.1480712890625,-1432.2940673828125,-1432.6812744140625,-1432.9808349609375,-1432.9609375,-1432.96142578125,-1428.922119140625,-1430.2711181640625,-1432.310791015625,7967954.0,668532544.0,168945936.0,-1432.224853515625,-1432.8187255859375,-1432.869873046875,158886.5625,29022702.0,68458152.0,-1428.436279296875,-1430.5301513671875,-1430.4617919921875,-42731.7109375,33798381109248.0,-362675175424.0
-1309.0472412109375,-1277.50830078125,-1429.2889404296875,-1429.27783203125,-1429.2672119140625,-1429.263427734375,-1429.2681884765625,-1429.28759765625,-1428.45751953125,-1428.604736328125,-1428.9757080078125,-1429.2880859375,-1429.2686767578125,-1429.2686767578125,-1425.1571044921875,-1426.487548828125,-1428.6231689453125,7969240.0,668450112.0,168883456.0,-1428.5145263671875,-1429.1268310546875,-1429.1778564453125,158859.96875,29000104.0,68450016.0,-1424.721923828125,-1426.812744140625,-1426.760986328125,-46231.8203125,34710604480512.0,-263389052928.0
