kr_fx,jp_fx,us_ret,kr_ret,jp_ret,kr_us_spread,jp_us_spread,kr_jp_spread,corr_us_kr,corr_us_jp,corr_kr_jp,us_ret_lag1,kr_ret_lag1,jp_ret_lag1,US_Interest_Rate,KR_Interest_Rate,JP_Interest_Rate,US_GDP,KR_GDP,JP_GDP,US_CPI,KR_CPI,JP_CPI,US_Employment,KR_Employment,JP_Employment,US_Unemployment,KR_Unemployment,JP_Unemployment,US_Trade_Balance,KR_Trade_Balance,JP_Trade_Balance
1335.728759765625,26.190887451171875,-122.55593872070312,-122.54229736328125,-122.54238891601562,-122.53643035888672,-122.53739929199219,-122.5512924194336,-121.74024200439453,-121.89505767822266,-122.03811645507812,-122.55439758300781,-122.54363250732422,-122.5448226928711,-119.23746490478516,-120.45515441894531,-121.8736801147461,7896673.5,671259968.0,169020512.0,-121.80171203613281,-122.39088439941406,-122.43854522705078,160476.640625,29128002.0,68466576.0,-118.37065887451172,-120.09783935546875,-120.11283874511719,-60471.00390625,25809236525056.0,-1310663114752.0
1336.8092041015625,27.71802520751953,-121.77418518066406,-121.75848388671875,-121.75811767578125,-121.75220489501953,-121.75318145751953,-121.77000427246094,-120.95484924316406,-121.10367584228516,-121.30548095703125,-121.77241516113281,-121.75791931152344,-121.76041412353516,-118.39457702636719,-119.63336181640625,-121.08814239501953,7914678.5,670513472.0,169048896.0,-121.04354095458984,-121.6088638305664,-121.65729522705078,160448.8125,29132766.0,68466408.0,-117.5534439086914,-119.34718322753906,-119.3253402709961,-54067.5859375,26335745409024.0,-1247303172096.0
1340.0150146484375,28.645896911621094,-121.29379272460938,-121.27760314941406,-121.27626037597656,-121.26961517333984,-121.27178192138672,-121.29039764404297,-120.47077178955078,-120.61442565917969,-120.86265563964844,-121.29170227050781,-121.27471923828125,-121.27780151367188,-117.83609008789062,-119.10831451416016,-120.603759765625,7928188.0,669863872.0,169133600.0,-120.58232116699219,-121.12834930419922,-121.17704772949219,160416.328125,29135826.0,68469656.0,-117.02264404296875,-118.88673400878906,-118.83656311035156,-47927.765625,27421262741504.0,-1151611699200.0
1339.11328125,29.496109008789062,-120.77912902832031,-120.7634048461914,-120.76175689697266,-120.7526626586914,-120.75544738769531,-120.77599334716797,-119.95297241210938,-120.0924072265625,-120.40083312988281,-120.77677917480469,-120.7576675415039,-120.76145935058594,-117.2199478149414,-118.52964782714844,-120.0883560180664,7937187.5,669518848.0,169148032.0,-120.0792236328125,-120.61319732666016,-120.66248321533203,160357.421875,29139330.0,68468000.0,-116.44677734375,-118.38350677490234,-118.31172180175781,-42475.4375,28363919982592.0,-1052124577792.0
1335.3646240234375,30.033859252929688,-120.35875701904297,-120.34322357177734,-120.34033203125,-120.33133697509766,-120.33301544189453,-120.35655975341797,-119.529296875,-119.66878509521484,-120.02619171142578,-120.35681915283203,-120.3363265991211,-120.34185791015625,-116.69407653808594,-118.02110290527344,-119.66704559326172,7944299.5,669181888.0,169143664.0,-119.65753173828125,-120.19280242919922,-120.24250030517578,160328.5625,29131622.0,68469416.0,-115.9771728515625,-117.96427154541016,-117.87867736816406,-40101.1328125,29403117518848.0,-935520239616.0
1330.539306640625,30.592391967773438,-120.0909194946289,-120.07592010498047,-120.07073974609375,-120.06329345703125,-120.06491088867188,-120.08963012695312,-119.25798034667969,-119.40103149414062,-119.78343963623047,-120.08958435058594,-120.06831359863281,-120.07360076904297,-116.31753540039062,-117.66012573242188,-119.40396118164062,7951610.5,668923776.0,169135520.0,-119.38485717773438,-119.92547607421875,-119.97534942626953,160280.859375,29117250.0,68467520.0,-115.65595245361328,-117.69149780273438,-117.60160064697266,-38877.44921875,30603315511296.0,-805070700544.0
1325.86767578125,31.14166259765625,-119.91654205322266,-119.90267944335938,-119.8949966430664,-119.88921356201172,-119.89142608642578,-119.91560363769531,-119.08165740966797,-119.22882843017578,-119.62556457519531,-119.91544342041016,-119.89458465576172,-119.89791107177734,-116.0382080078125,-117.39389038085938,-119.23274993896484,7958174.5,668870592.0,169094912.0,-119.1979751586914,-119.75164031982422,-119.80196380615234,160246.328125,29086624.0,68466752.0,-115.43248748779297,-117.50471496582031,-117.41669464111328,-38226.203125,31618257387520.0,-656761749504.0
1319.0384521484375,31.544105529785156,-119.91221618652344,-119.89969635009766,-119.88984680175781,-119.88568115234375,-119.88880157470703,-119.91154479980469,-119.07661437988281,-119.22308349609375,-119.61688232421875,-119.91130065917969,-119.89120483398438,-119.89261627197266,-115.92967224121094,-117.29339599609375,-119.2351303100586,7962296.5,668703808.0,169045168.0,-119.17582702636719,-119.74811553955078,-119.79905700683594,160222.359375,29056638.0,68464160.0,-115.39368438720703,-117.48429107666016,-117.4003677368164,-39331.66796875,32755341590528.0,-522003283968.0
1313.00732421875,31.77013397216797,-119.97456359863281,-119.96295928955078,-119.95195770263672,-119.94851684570312,-119.95230102539062,-119.9736099243164,-119.1407699584961,-119.2867660522461,-119.67391967773438,-119.9734878540039,-119.95360565185547,-119.95414733886719,-115.91481018066406,-117.26378631591797,-119.30341339111328,7969267.0,668533824.0,168947264.0,-119.21749877929688,-119.81138610839844,-119.86255645751953,160199.5625,29024014.0,68459464.0,-115.42897033691406,-117.52285766601562,-117.45452880859375,-41418.703125,33798381109248.0,-362675175424.0
1309.0472412109375,31.538848876953125,-120.24169921875,-120.23064422607422,-120.22007751464844,-120.21621704101562,-120.22098541259766,-120.24044036865234,-119.41030883789062,-119.55755615234375,-119.92855834960938,-120.24092864990234,-120.22147369384766,-120.22148895263672,-116.1099624633789,-117.44033813476562,-119.57598876953125,7970549.5,668451392.0,168884752.0,-119.46735382080078,-120.07959747314453,-120.13064575195312,160169.015625,29001414.0,68451328.0,-115.6747817993164,-117.76554870605469,-117.71377563476562,-44922.7734375,34710604480512.0,-263389052928.0
