Date,us_Trade Weighted Dollar Index,kr_fx,jp_fx
2011-M01,90.1112,1120.07,82.6111
2011-M02,89.3967,1118.14,82.4978
2011-M03,88.4872,1122.45,81.7936
2011-M04,86.9214,1086.84,83.347
2011-M05,86.9464,1083.54,81.2572
2011-M06,86.9412,1081.27,80.5118
2011-M07,86.3178,1059.5,79.39736842
2011-M08,86.8983,1073.17,77.22086957
2011-M09,89.7253,1118.61,76.8375
2011-M10,90.6098,1155.45,76.772
2011-M11,91.2649,1132.31,77.5794
2011-M12,92.2056,1147.45,77.8586
2012-M01,91.6463,1145.85,76.9783
2012-M02,89.9605,1123.35,78.392
2012-M03,90.5112,1125.9,82.4347619
2012-M04,90.8156,1135.55,81.4895
2012-M05,92.4928,1154.27,79.7155
2012-M06,93.8809,1165.51,79.32142857
2012-M07,93.4062,1143.36,78.983
2012-M08,92.5283,1131.69,78.66478261
2012-M09,90.9802,1124.78,78.16777778
2012-M10,90.7566,1106.93,78.96863636
2012-M11,91.4751,1087.52,80.792
2012-M12,90.8804,1076.97,83.57777778
2013-M01,90.8255,1065.35,89.16
2013-M02,91.5509,1086.68,93.16611111
2013-M03,92.4132,1102.2,94.78842105
2013-M04,92.0478,1121.83,97.6995
2013-M05,92.529,1110.67,101.082
2013-M06,93.2836,1135.21,97.33111111
2013-M07,93.8724,1127.23,99.75052632
2013-M08,93.7149,1116.98,97.87
2013-M09,93.4706,1087.35,99.27888889
2013-M10,92.4993,1066.8,97.82142857
2013-M11,93.3737,1062.82,99.78833333
2013-M12,93.534,1056.67,103.4115789
2014-M01,94.4648,1064.75,103.935
2014-M02,94.6456,1071.3,102.1561111
2014-M03,94.4408,1070.89,102.2725
2014-M04,93.9956,1044.55,102.5638095
2014-M05,93.67,1024.99,101.79
2014-M06,93.8274,1019.36,102.052381
2014-M07,93.6039,1019.93,102.78
2014-M08,94.5808,1025.36,102.9571429
2014-M09,96.1209,1033.24,107.2442105
2014-M10,97.4396,1060.28,108.0613636
2014-M11,99.1147,1095.1,116.2122222
2014-M12,101.4441,1104.33,119.3126316
2015-M01,103.7607,1088.86,118.3077778
2015-M02,105.1685,1098.4,118.5633333
2015-M03,107.3647,1112.57,120.3868182
2015-M04,106.3523,1088.66,119.5495238
2015-M05,105.4065,1091.27,120.6894118
2015-M06,106.179,1112.2,123.7504545
2015-M07,108.1236,1143.22,123.2433333
2015-M08,109.9768,1179.1,123.2338095
2015-M09,110.8513,1184.76,120.285
2015-M10,109.9036,1148.18,120.0619048
2015-M11,111.6916,1151.97,122.5329412
2015-M12,112.7857,1172.24,121.924
2016-M01,115.2344,1201.67,118.3061111
2016-M02,114.2817,1217.35,115.0931579
2016-M03,111.8934,1188.21,113.0704545
2016-M04,110.0171,1147.51,109.9652381
2016-M05,111.1405,1171.51,109.0622222
2016-M06,111.5596,1170.5,105.4918182
2016-M07,112.4773,1144.09,103.9710526
2016-M08,111.4384,1111.68,101.2690909
2016-M09,112.3169,1107.49,101.9442105
2016-M10,113.4747,1125.28,103.8175
2016-M11,116.1075,1161.64,107.6244444
2016-M12,117.9048,1182.28,115.8995
2017-M01,117.7858,1185.1,114.75
2017-M02,116.1204,1144.92,113.0715789
2017-M03,115.6558,1134.77,113.0145455
2017-M04,114.7698,1132.73,110.062
2017-M05,114.2591,1125.28,112.2573684
2017-M06,112.7603,1130.04,110.9059091
2017-M07,111.0606,1134.4,112.3936842
2017-M08,109.9059,1130.79,109.9145455
2017-M09,108.8542,1131.59,110.7231579
2017-M10,110.8892,1131.57,112.9566667
2017-M11,111.1635,1105.04,112.9947368
2017-M12,110.8758,1085.78,112.9495
2018-M01,108.3567,1066.7,110.7744444
2018-M02,107.65,1079.58,107.9005556
2018-M03,107.9473,1071.89,106.0004762
2018-M04,107.9428,1067.76,107.5214286
2018-M05,111.046,1076.39,109.7015
2018-M06,112.8435,1092.8,110.0252381
2018-M07,113.0594,1122.8,111.4185
2018-M08,113.8309,1121.15,111.0582609
2018-M09,114.0783,1120.6,111.9464706
2018-M10,114.8301,1130.81,112.775
2018-M11,116.1678,1128.58,113.3835
2018-M12,116.2111,1122.9,112.5727778
2019-M01,114.4403,1122,108.9211111
2019-M02,114.4106,1122.45,110.3477778
2019-M03,114.7823,1130.72,111.206
2019-M04,114.9024,1140.95,111.6638095
2019-M05,115.957,1183.29,109.8533333
2019-M06,115.4279,1175.62,108.057
2019-M07,115.0785,1175.31,108.2404762
2019-M08,117.102,1208.98,106.2728571
2019-M09,117.3256,1197.55,107.4822222
2019-M10,116.7479,1184.13,108.1233333
2019-M11,116.5605,1167.45,108.7933333
2019-M12,115.9107,1175.84,109.1547368
2020-M01,115.2786,1164.28,109.2847368
2020-M02,116.7095,1193.79,109.9735294
2020-M03,121.0285,1220.09,107.2928571
2020-M04,123.2894,1225.23,107.93
2020-M05,122.6238,1228.67,107.2917647
2020-M06,119.6845,1210.01,107.555
2020-M07,118.7004,1198.9,106.6973684
2020-M08,116.9576,1186.85,106.0415
2020-M09,116.3534,1178.8,105.6905556
2020-M10,115.7882,1144.68,105.222381
2020-M11,114.1033,1116.76,104.4264706
2020-M12,111.9051,1095.13,103.8888235
2021-M01,111.4953,1097.49,103.6961111
2021-M02,112.0275,1111.72,105.3741176
2021-M03,113.3497,1131.02,108.6495652
2021-M04,112.6426,1119.4,109.1342857
2021-M05,111.2252,1123.28,109.11
2021-M06,111.5888,1121.3,110.1059091
2021-M07,113.0721,1143.98,110.1661111
2021-M08,113.4124,1160.34,109.8357143
2021-M09,113.4532,1169.54,110.2188235
2021-M10,114.0758,1182.82,113.127
2021-M11,115.0036,1182.91,114.0177778
2021-M12,115.8172,1183.62,113.6164706
2022-M01,115.0507,1194.01,114.8538889
2022-M02,115.0057,1198.34,115.21
2022-M03,116.2984,1221.03,118.5095455
2022-M04,117.1702,1232.34,126.2247619
2022-M05,119.6926,1269.88,128.8783333
2022-M06,120.0269,1277.35,133.7957143
2022-M07,122.7609,1307.4,136.7163158
2022-M08,122.3262,1318.44,135.2422727
2022-M09,125.5999,1391.59,143.29
2022-M10,127.4828,1426.66,147.0145
2022-M11,124.8627,1364.1,142.82
2022-M12,122.2476,1296.22,135.4223529
2023-M01,119.8133,1247.25,130.3444444
2023-M02,120.3366,1270.74,132.5861111
2023-M03,120.8071,1305.73,133.8504545
2023-M04,119.3744,1320.01,133.334
2023-M05,119.7956,1328.21,137.1942105
2023-M06,119.5789,1296.71,141.1585714
2023-M07,118.4119,1286.3,140.8416667
2023-M08,120.2177,1318.47,144.7722727
2023-M09,121.9827,1329.47,147.7515789
2023-M10,123.7914,1350.69,149.5266667
2023-M11,121.5369,1310.39,149.8394737
2023-M12,120.1585,1303.98,144.69375
2024-M01,120.5769,1323.57,146.6511111
2024-M02,121.4155,1331.74,149.3866667
2024-M03,121.0413,1330.69,149.625
2024-M04,122.5142,1367.83,153.4333333
2024-M05,122.2444,1365.39,156.103
2024-M06,124.0309,1380.13,157.8210526
2024-M07,123.7208,1383.38,157.7425
2024-M08,122.8802,1354.15,146.2328571
2024-M09,122.1296,1334.82,143.2205556
2024-M10,123.831,1361,149.6263636
2024-M11,126.5329,1393.38,154.0355556
2024-M12,127.814,1434.42,152.5175
2025-M01,129.0413,1455.79,156.4088235
2025-M02,128.0665,1445.56,151.9658824
2025-M03,126.4864,1456.95,149.175
2025-M04,124.4557,1444.31,144.3871429
2025-M05,122.6869,1394.49,144.8789474
2025-M06,120.9747,1366.95,144.458
2025-M07,120.5266,1375.22,146.8109524
2025-M08,120.9844,1389.66,147.67
2025-M09,120.4534,1391.83,147.97
2025-M10,121.1712,1423.36,151.28
2025-M11,121.8038,1457.77,155.00
2025-M12,120.5723,1467.40,155.89
