Date,us_Trade Weighted Dollar Index,kr_fx,jp_fx,us_ret,kr_ret,jp_ret,kr_us_spread,jp_us_spread,kr_jp_spread,corr_us_kr,corr_us_jp,corr_kr_jp,us_ret_lag1,kr_ret_lag1,jp_ret_lag1,US_Interest_Rate,KR_Interest_Rate,JP_Interest_Rate,US_GDP,KR_GDP,JP_GDP,US_CPI,KR_CPI,JP_CPI,US_Employment,KR_Employment,JP_Employment,US_Unemployment,KR_Unemployment,JP_Unemployment,US_Trade_Balance,KR_Trade_Balance,JP_Trade_Balance
11.Jan,90.1112,1120.07,82.6111,-0.007960694,-0.001724593,-0.001372428,0.006236102,0.006588267,-0.000352165,0.7847807271650654,-0.112388601,-0.274339612,-0.007960694,-0.001724593,-0.001372428,0.17,2.66,0.085,3837862,355795000,125410750,0.4763,1.1885,-0.1,130837,23714100,63116670,9.1,3.6667,4.7333,-48123,1.26897E+13,7.44358E+11
11.Feb,88.68220000000001,1116.2100000000003,82.3845,-0.007960694,-0.001724593,-0.001372428,0.006236102,0.006588267,-0.000352165,0.7847807271650654,-0.112388601,-0.274339612,-0.007960694,-0.001724593,-0.001372428,0.15000000000000002,2.84,0.10099999999999999,3837862.0000000005,355795000,125410750,0.5099,0.1797000000000002,0.1,131275.00000000003,23714100,63116670,8.9,3.6667,4.7333,-41383,1.26897E+13,7.44358E+11
11.Mar,87.94235000000002,1115.0912000000005,82.19438300000002,-0.008255166,-0.001000259,-0.002308453,0.007254907,0.005946713,0.001308194,0.7847807271650654,-0.112388601,-0.274339612,-0.007960694,-0.001724593,-0.001372428,0.13870000000000005,2.9404,0.10691999999999997,3837862.0000000005,355795000,125410750,0.587176,-0.297465,0.22599999999999998,131494.91000000006,23714100,63116670,8.813,3.6667,4.7333,-38393.77,1.26897E+13,7.44358E+11
11.Apr,87.08927650000001,1109.6757440000008,82.21319621000004,-0.009570923,-0.004894192,0.00022141,0.004676731,0.009792333,-0.005115602,0.7847807271650654,-0.112388601,-0.274339612,-0.008255166,-0.001000259,-0.002308453,0.12336900000000003,3.0418480000000003,0.10860039999999997,3844559.964,356140891,125173441.5,0.6253061200000001,-0.74423455,0.31562,131727.39170000007,23863197,63081570,8.753310000000003,3.623358,4.724641999999999,-35669.4999,1.18044E+13,4.32689E+11
11.May,86.31972405500001,1103.687761280001,81.99246821270003,-0.008645228,-0.00542329,-0.002690831,0.003221938,0.005954397,-0.002732459,0.7847807271650654,-0.112388601,-0.274339612,-0.009570923,-0.004894192,0.00022141,0.10757003000000004,3.1334957600000006,0.10962474799999997,3851932.877,356521637.1700001,124912219.60500002,0.637626044,-1.108712108,0.3768094,131946.6234790001,24027318.39,63042933,8.696989700000003,3.5756484600000005,4.715111539999999,-34083.32181,1.08299E+13,89613858800
11.Jun,85.64525113285002,1097.3990439936013,81.67485296874905,-0.007589278,-0.005705319,-0.003889843,0.001883959,0.003699435,-0.001815476,0.7847807271650654,-0.112388601,-0.274339612,-0.008645228,-0.00542329,-0.002690831,0.092823856,3.2359738712000006,0.10932791875999996,3859692.056,356922330.6079001,124637312.31135002,0.5686221950279999,-1.397611548,0.394575578,132166.1633757301,24200038.089300003,63002271.81,8.668391739000004,3.525439420200001,4.705081779799999,-33345.42188,9.80431E+12,-2.71435E+11
11.Jul,84.99606196892952,1088.4252271160335,81.20923155473069,-0.007340769,-0.00822236,-0.005742699,-0.000881591,0.001598069,-0.00247966,0.7847807271650654,-0.112388601,-0.274339612,-0.007589278,-0.005705319,-0.003889843,0.076867584,3.334924955144001,0.10837093488119996,3870495.6753182923,357957518.7837731,124690742.12772453,0.5116880647423598,-1.572388697,0.41872787085999996,132364.7543815152,24363965.675991006,62959274.48,8.642601821930004,3.4701581017740013,4.6689035422259995,-32681.84928,9.01503E+12,-5.09475E+11
11.Aug,84.52690886233319,1081.2581351127415,80.45287153757225,-0.005305926,-0.006540536,-0.009457548,-0.00123461,-0.004151622,0.002917012,0.7847807271650654,-0.112388601,-0.274339612,-0.007340769,-0.00822236,-0.005742699,0.066200911,3.4204331820392815,0.10748852134384396,3881461.662632766,359049186.57854563,124782374.94862986,0.47209070554301297,-1.64340147,0.44090309830819996,132549.49365527634,24523792.533733178,62916798.557389006,8.630112841909105,3.4153001721373815,4.630277022,-32353.93847,8268652795322.7705,-7.28398E+11
11.Sep,84.54332280052651,1080.4723082563964,79.62534941900248,0.000176208,-0.000721563,-0.010384641,-0.00089777,-0.010560849,0.009663078,0.7847807271650654,-0.112388601,-0.274339612,-0.005305926,-0.006540536,-0.009457548,0.055014879,3.4922775907838557,0.10576969351990824,3892244.8013368095,360158935.9964845,124905641.48898575,0.4144443610973104,-1.737627922,0.43763371,132731.49419200307,24675133.929689135,62876066.16608743,8.629969375,3.362469030300302,4.590605843403299,-32235.01058,7583277511058.107,-9.2355E+11
11.Oct,84.82853966088469,1085.698394837994,78.78842902971961,0.003178658,0.004602559,-0.010520656,0.001423901,-0.013699314,0.015123215187529874,0.7847807271650654,-0.112388601,-0.274339612,0.000176208,-0.000721563,-0.010384641,0.044397003140963176,3.548369230930456,0.10357965767276885,3908863.7061303444,362258295.4,125070291.13063648,0.3081303202632589,-1.785386891,0.4345622493391846,132910.83984929704,24812123.268158827,62851124.928933404,8.614941172845556,3.3043759317379213,4.551184607235812,-32729.39517,7024506039888.168,-1.15643E+12
11.Nov,85.34383564538051,1089.486220916292,78.07966980847345,0.00574105,0.003385978,-0.008882117,-0.002355072,-0.014623167,0.012268094384220295,0.7847807271650654,-0.112388601,-0.274339612,0.003178658,0.004602559,-0.010520656,0.036909005,3.592200630134483,0.10041123568016033,3925371.7532606157,364410992.9875784,125254468.57420304,0.21286177390471464,-1.743465356,0.3307610672081746,133079.32574538272,24933759.074736785,62831143.96762677,8.580967556,3.249959865079641,4.513170956,-33811.35944,6557102344638.578,-1.36629E+12
